split,scope,site_id,n_eval,n_missing,mae,rmse,r2,nrmse,daylight_n,daylight_mae,daylight_nrmse
val,SITE,42,5623,6275,0.4165096802790352,0.6852000259836541,0.869299688955743,0.11087827597947032,5623,0.4165096802790352,0.11087827597947032
val,SITE,5,3056,4027,0.2669386486888556,0.6083661487914267,-0.029018573766043332,0.3204562429847844,3055,0.2670069347231751,0.3205082045389026
val,SITE,6,3274,3032,1.5368462678638988,2.580950789099111,0.92831749065432,0.09013961828231547,3251,1.5462903604621852,0.09045554225292377
val,SITE,7,2409,9489,1.2982822802612128,2.127059324489368,0.7953037356834611,0.13372433089360455,2409,1.2982822802612128,0.13372433089360455
val,SITE,8,3333,2973,1.6862598130769497,2.570245508636625,0.9238128641532928,0.09566485173174993,3322,1.6911566456996268,0.0958219251536652
val,SITE,9,5277,6621,0.2310350962789397,0.5240040926427458,0.16192924880223003,0.27410103742736286,5277,0.2310350962789397,0.27410103742736286
test,ALL,,189652,220142,1.1467577885015532,2.5514955501974828,0.9495874043926461,0.025741792174626008,189176,1.1490279427364967,0.025773676101083255
test,SITE,1,6007,5891,1.2477066961008716,2.0277264733554494,0.9135760221187884,0.09353844789000568,5993,1.2501139425185095,0.09364622947672478
test,SITE,10,5824,6074,0.5971827454619355,0.8409866597191097,0.8922975285445887,0.10993289669539211,5824,0.5971827454619355,0.10993289669539211
test,SITE,11,3085,3221,4.920805199296973,8.165031791961999,0.9206131372320738,0.08813662248027794,3040,4.9881374998312245,0.08878444289664475
test,SITE,12,5577,6321,1.2275380301650802,1.8797783533532595,0.8885425277020977,0.10760837116387498,5570,1.2288423233443146,0.10767511449826916
test,SITE,13,5302,6293,0.957087082127183,1.4534579829013454,0.7905783069064727,0.1126159447327247,5302,0.957087082127183,0.1126159447327247
test,SITE,14,4667,4928,0.9534739039044884,1.4038392193727902,0.8765589846788695,0.1042813449149,4666,0.9536530567860838,0.10429244057618743
test,SITE,15,4777,4976,1.196416161213556,1.8062463648642832,0.8891317847782141,0.09758857582551712,4775,1.1967940184708041,0.09760832426511984
test,SITE,16,2936,4133,0.31847469666998135,0.43171809815225864,0.7875514641538329,0.1344932560109257,2936,0.31847469666998135,0.1344932560109257
test,SITE,17,4585,5053,0.6456517072904331,0.9510552719315664,0.8861083858819021,0.10067445124620335,4585,0.6456517072904331,0.10067445124620335
test,SITE,18,4566,4710,2.2703438242746454,3.5601479517982146,0.8855178285391444,0.10115403725420011,4564,2.2712874344625984,0.10117616215978534
test,SITE,19,4645,4791,2.5767539521721385,4.108058412521028,0.8921297053588454,0.09753763322215084,4642,2.5782820593432483,0.0975690317413376
test,SITE,2,5972,5926,1.096939530295968,1.7604226512916186,0.9169847103075469,0.0953512607334962,5962,1.0984931608767607,0.09543017513452177
test,SITE,20,4664,4974,1.093065746141339,1.650725157256477,0.88123144635895,0.10501631219126692,4663,1.0932657713034162,0.10502746594130492
test,SITE,21,4559,5079,0.5842180273516656,0.8462327216510579,0.86710600151502,0.10686838588773304,4559,0.5842180273516656,0.10686838588773304
test,SITE,22,4618,5020,0.9971354833770594,1.5020886464847474,0.8775580066406183,0.10105372669340919,4617,0.9973193634013373,0.10106456329564598
test,SITE,23,4223,4582,0.8918069400918334,1.2824776894367247,0.8731534911546817,0.10728786846805327,4222,0.8919915544201784,0.10730047600192487
test,SITE,24,4708,4930,0.8902935630807253,1.3065058555273552,0.877272083340203,0.07389461452968858,4707,0.8904562220847959,0.07390239210048431
test,SITE,25,4460,4976,4.607255217686897,7.781691822265442,0.8971137471995884,0.09709454296821265,4443,4.6237035009631855,0.09727977314851101
