split,scope,site_id,n_eval,n_missing,mae,rmse,r2,nrmse,daylight_n,daylight_mae,daylight_nrmse
val,SITE,42,5623,6275,0.4699828372441766,0.6721275205213584,0.8742392160801693,0.10876289825993396,5623,0.4699828372441766,0.10876289825993396
val,SITE,5,3056,4027,0.21277628487941483,0.2828870719694673,0.7775054724971041,0.1490104741238346,3055,0.21276683370337354,0.1490170659751131
val,SITE,6,3274,3032,1.4899825256775265,2.5787854347893413,0.9284377199273033,0.09006399335689923,3251,1.4991683127586015,0.09037977017988243
val,SITE,7,2409,9489,1.2021990029234864,1.906191341962323,0.8356068577542903,0.1198387646382582,2409,1.2021990029234864,0.1198387646382582
val,SITE,8,3333,2973,1.4703855832847001,2.4306116889603016,0.9318660459057624,0.09046766391012463,3322,1.4747403956263414,0.09061647352512202
val,SITE,9,5277,6621,0.2300970765345698,0.3023079620788082,0.7210601922404408,0.1581341199272794,5277,0.2300970765345698,0.1581341199272794
test,ALL,,189652,220142,1.124264147072057,2.5443559425659696,0.9498691392196683,0.025669761362797014,189176,1.1251808917234578,0.02569623550894723
test,SITE,1,6007,5891,1.1452640828662413,1.9013745006660925,0.9240109806186272,0.08770986717731945,5993,1.147610988239802,0.08781149184786709
test,SITE,10,5824,6074,0.5588753741275478,0.7995727260082012,0.9026438482803465,0.10451931058938688,5824,0.5588753741275478,0.10451931058938688
test,SITE,11,3085,3221,4.789829890500012,8.04158013032399,0.922995577671597,0.08680403581392061,3040,4.854713835371168,0.08744110740823542
test,SITE,12,5577,6321,1.1849375423488169,1.8857469041608357,0.8878336189118802,0.10795004231327746,5570,1.1861474358200812,0.10801667494812298
test,SITE,13,5302,6293,0.9574700508060117,1.4830864456034407,0.7819532414927473,0.11491159920463057,5302,0.9574700508060117,0.11491159920463057
test,SITE,14,4667,4928,0.9080738063437898,1.3903630293179108,0.8789175597707378,0.10328029350968318,4666,0.9082546678163747,0.10329133666807609
test,SITE,15,4777,4976,1.1700474918949222,1.80981306112064,0.8886935016335421,0.09778127866762705,4775,1.1704973610283818,0.09780164861904682
test,SITE,16,2936,4133,0.3038567460525263,0.4006361961155844,0.8170410751530134,0.12481030265359246,2936,0.3038567460525263,0.12481030265359246
