model,method,level,scope,label,n,n_missing,coverage,mae,mean_width,median_width,p90_width
xgboost,mondrian,0.9,SITE,site_2,6020,5878,0.9184385382059801,0.9167746408808469,5.8322879925914775,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_20,4718,4920,0.917125900805426,0.9906329831257289,5.838901007261353,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_21,4610,5028,0.9887201735357918,0.5017194410240573,5.839509079409783,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_22,4669,4969,0.9340329835082459,0.8869775607208543,5.838521759779148,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_23,4274,4531,0.957884885353299,0.7532486725680506,5.8389543481781265,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_24,4760,4878,0.9565126050420169,0.7505997971326364,5.83711831559654,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_25,4511,4925,0.5522057193526935,4.750833577078188,5.820569877163636,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_26,4651,4987,0.9909696839389379,0.4795756273899148,5.8391383824566825,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_27,6665,5306,0.5939984996249063,4.3641839055530305,6.486139451804594,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_28,4035,4957,0.9997521685254027,0.2017986182905872,5.840935313568682,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_29,4003,5057,1.0,0.1945658811061989,5.841031208652989,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_3,5908,5990,0.9614082599864591,0.6349346171724045,5.8394070040477475,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_30,4152,4653,0.9867533718689788,0.5351799913073723,5.840441841610594,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_31,4687,4951,0.9214849583955622,0.9478523097914455,5.838760350440798,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_32,4573,5065,0.9934397550841898,0.4387698501231189,5.840794185619242,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_33,4725,4913,0.8943915343915344,1.0931269960365597,5.837837730084778,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_34,5121,5726,0.9998047256395235,0.2646660001494181,5.839840669414071,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_35,5137,5754,0.9974693400817598,0.3776886583502965,5.841565581595176,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_36,4668,4970,0.9736503856041131,0.6520200854338124,5.838178173026777,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_37,4665,4973,0.9798499464094319,0.601310688199721,5.838460803772986,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_38,4724,4914,0.9633784928027096,0.7061887484684171,5.838068653727668,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_39,4106,4699,0.9961032635168047,0.4315986669773424,5.840885062944698,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_4,3025,4057,1.0,0.16367392929317046,5.865007444649688,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_40,4711,4927,0.931861600509446,0.9016377938920412,5.8381623427241855,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_41,5780,6118,0.9205882352941176,0.9527138962001124,5.8336355522017165,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_42,5814,6084,0.998624011007912,0.3044090175614822,5.83970684016083,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_5,1958,5124,0.9994892747701737,0.16000366512124986,5.861909928677396,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_6,3094,3212,0.8584356819650937,1.4242556788166956,5.8093992826934,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_7,1231,10667,0.9033306255077173,1.09450865524218,5.951618949152608,5.828939437866211,6.151628494262695
xgboost,mondrian,0.9,SITE,site_8,3046,3260,0.8634274458305975,1.395950296219837,5.819379926119208,5.828939437866211,5.828939437866211
xgboost,mondrian,0.9,SITE,site_9,5156,6742,0.9998060512024826,0.1400716931666981,5.843146267928663,5.828939437866211,5.828939437866211
persistence,mondrian,0.9,REGIME,day_lag,176263,13342,0.9221504229475272,2.821255548792855,16.5,16.5,16.5
persistence,mondrian,0.9,REGIME,day_nolag,5601,22710,0.937868237814676,1.6480071917961079,13.1875,13.1875,13.1875
persistence,mondrian,0.9,REGIME,night_lag,154,1996,0.935064935064935,0.221387987012987,1.0,1.0,1.0
persistence,mondrian,0.9,REGIME,night_nolag,11,189717,0.9090909090909091,0.011363636363636364,0.0,0.0,0.0
persistence,mondrian,0.9,SITE,site_1,5812,6086,0.8888506538196834,2.911153647625602,16.380839211975225,16.5,16.5
persistence,mondrian,0.9,SITE,site_10,5594,6304,1.0,1.07811941365749,16.39163612799428,16.5,16.5
persistence,mondrian,0.9,SITE,site_11,3049,3257,0.5595277140045917,13.362311413578222,16.22898901279108,16.5,16.5
persistence,mondrian,0.9,SITE,site_12,5239,6659,0.9339568619965642,2.431964592479481,16.357940446650122,16.5,16.5
persistence,mondrian,0.9,SITE,site_13,4756,6839,0.9875946173254836,1.8997187762825904,16.281302565180823,16.5,16.5
persistence,mondrian,0.9,SITE,site_14,4546,5049,0.9703035635723714,2.267859106907171,16.416932468103827,16.5,16.5
persistence,mondrian,0.9,SITE,site_15,4636,5117,0.911993097497843,2.9594747627264884,16.409970880069025,16.5,16.5
persistence,mondrian,0.9,SITE,site_16,2819,4250,1.0,0.6397055970645619,16.391894288754877,16.5,16.5
persistence,mondrian,0.9,SITE,site_17,4443,5195,0.9988746342561332,1.520981037587216,16.4045689849201,16.5,16.5
persistence,mondrian,0.9,SITE,site_18,4472,4804,0.7115384615384616,5.842799642218247,16.412091905187836,16.5,16.5
persistence,mondrian,0.9,SITE,site_19,4545,4891,0.6827282728272828,6.738613861386138,16.412046204620463,16.5,16.5
persistence,mondrian,0.9,SITE,site_2,5776,6122,0.9077216066481995,2.6227114352493075,16.38718403739612,16.5,16.5
persistence,mondrian,0.9,SITE,site_20,4522,5116,0.930561698363556,2.7287842768686423,16.409166298098185,16.5,16.5
persistence,mondrian,0.9,SITE,site_21,4416,5222,1.0,1.3378499348958333,16.413736979166668,16.5,16.5
persistence,mondrian,0.9,SITE,site_22,4447,5191,0.9574994378232516,2.3803547335282214,16.40837924443445,16.5,16.5
persistence,mondrian,0.9,SITE,site_23,4104,4701,0.9873294346978557,1.9327637670565303,16.404757553606238,16.5,16.5
persistence,mondrian,0.9,SITE,site_24,4625,5013,0.976,2.174016891891892,16.421216216216216,16.5,16.5
persistence,mondrian,0.9,SITE,site_25,4314,5122,0.5507649513212796,12.874797171998146,16.37730354659249,16.5,16.5
persistence,mondrian,0.9,SITE,site_26,4468,5170,1.0,1.2559782760743061,16.416223701880035,16.5,16.5
persistence,mondrian,0.9,SITE,site_27,6287,5684,0.5640209957054239,11.590166216001272,16.22778153332273,16.5,16.5
persistence,mondrian,0.9,SITE,site_28,3821,5171,1.0,0.45485628353179797,16.40377191834598,16.5,16.5
persistence,mondrian,0.9,SITE,site_29,3774,5286,1.0,0.4430969917527822,16.402573529411764,16.5,16.5
persistence,mondrian,0.9,SITE,site_3,5683,6215,0.9716698926623263,1.7524359933133908,16.40557364068274,16.5,16.5
persistence,mondrian,0.9,SITE,site_30,3965,4840,1.0,1.3329661885245903,16.4030895334174,16.5,16.5
persistence,mondrian,0.9,SITE,site_31,4499,5139,0.9290953545232273,2.5084289564347633,16.40870193376306,16.5,16.5
