model,protocol,split,scope,site_id,n_eval,n_missing,mae,rmse,r2,nrmse,daylight_n,daylight_mae,daylight_nrmse
lstm,seen,test,SITE,6,3041,3265,1.6927848255818552,2.7299359697380723,0.9041114126153119,0.02754206033304447,3023,1.7021058705954846,0.02762357318383946
lstm,seen,test,SITE,8,2996,3310,1.6410781671112784,2.5695514565408835,0.907943546249046,0.025923956469829406,2984,1.647009537702591,0.025975629590724185
lstm,unseen,val,ALL,,160306,226905,0.4673400129264433,0.8089663574264301,0.8921146501714757,0.00816158344760727,160301,0.4673530523460193,0.008161709980659692
lstm,unseen,val,SITE,14,28098,35866,0.8564692559960098,1.3448034645211286,0.8786805436400195,0.013567592268283817,28093,0.8566129173427086,0.013568797018059187
lstm,unseen,val,SITE,16,19508,27616,0.3341419747894065,0.47844691175317416,0.742189887933555,0.004827004682798129,19508,0.3341419747894065,0.004827004682798129
lstm,unseen,val,SITE,28,24466,35482,0.30591341678769085,0.4959862034380343,0.6848287621950021,0.00500395690260775,24466,0.30591341678769085,0.00500395690260775
lstm,unseen,val,SITE,32,28104,36148,0.5036655573952267,0.7409831247418066,0.8536004187139298,0.007475707179082574,28104,0.5036655573952267,0.007475707179082574
lstm,unseen,val,SITE,35,29187,43417,0.4500897982013306,0.7302838161384706,0.8089589876631963,0.00736776288795577,29187,0.4500897982013306,0.00736776288795577
lstm,unseen,val,SITE,9,30943,48376,0.30887851510045783,0.6384404532891039,-0.2582928819754162,0.006441164070684002,30943,0.30887851510045783,0.006441164070684002
lstm,unseen,test,ALL,,162186,247595,0.8009533569170076,1.3550486772638435,0.8853181500617354,0.013670955230130795,162129,0.8005477515029741,0.013662369180621506
lstm,unseen,test,SITE,13,31596,45707,0.9493283339004742,1.4716622439005635,0.8460632911391648,0.014847458241030426,31591,0.9494647943839387,0.014848626631710536
lstm,unseen,test,SITE,26,28233,36019,0.5529181298932889,0.8299797213250609,0.851293207575417,0.008373585246445008,28193,0.549803747774226,0.00827584663681418
lstm,unseen,test,SITE,29,24636,35767,0.34049648936595367,0.5659056689561023,0.5583735762275599,0.005709367637181726,24636,0.34049648936595367,0.005709367637181726
lstm,unseen,test,SITE,33,29041,35211,1.163347444555467,1.8198521420431277,0.8842357742022328,0.018360312494135573,29032,1.1636834662377298,0.018363150834617224
lstm,unseen,test,SITE,36,28538,35714,0.6811370080747816,1.050284855177724,0.861796943521104,0.010596222464134641,28536,0.6811788224906101,0.010596589921052722
lstm,unseen,test,SITE,7,20142,59177,1.126321763476919,1.921534875658591,0.8312563788978842,0.019386179772749687,20141,1.1263690105068493,0.019386657049541848
gru,seen,val,ALL,,144743,145504,1.5132772780067263,3.3785833969485677,0.9436092316035749,0.034086201577800346,144451,1.5156929231772907,0.034120175849163395
gru,seen,val,SITE,1,5793,6105,1.387893378415627,2.25794499004546,0.8866781648851653,0.022780188925271505,5774,1.3919999459477745,0.022817430213493178
gru,seen,val,SITE,10,5736,6162,0.6328199700331588,0.9452545762640715,0.8478691915386969,0.009536582124323355,5734,0.6329704849487986,0.009538127086890781
gru,seen,val,SITE,11,3392,2914,4.899457035551094,8.470467977679906,0.9282808349124249,0.08545773332286798,3341,4.968438294147239,0.08610575969183198
gru,seen,val,SITE,12,5700,6198,1.1034143101959897,1.7204988522157714,0.8685374927288392,0.017357946748914797,5697,1.1039182496987374,0.01736246083166303
gru,seen,val,SITE,15,4973,4780,1.3651203200200086,2.0699586578404925,0.8645484598039805,0.020883612975955843,4971,1.365577844613228,0.020887756345104598
gru,seen,val,SITE,17,4812,4826,0.6875515808091992,1.062998629966146,0.8624402044148762,0.010724490510039417,4812,0.6875515808091992,0.010724490510039417
gru,seen,val,SITE,18,4842,4435,2.4011910507276206,3.7556779819701744,0.8812312776806861,0.03789067242512427,4839,2.4023599983320967,0.03790218019491187
gru,seen,val,SITE,19,4838,4598,2.922796577005753,4.577120406282718,0.8757392816925359,0.04617812570656849,4834,2.9249805790558305,0.046197133306054815
